GEO_ID,NAME,FIPS,Cty_Name,St_Name,FlashFloodCount
0500000US51770,"Roanoke city, Virginia",51770,Roanoke city,Virginia,0
0500000US51775,"Salem city, Virginia",51775,Salem city,Virginia,2
0500000US51790,"Staunton city, Virginia",51790,Staunton city,Virginia,0
0500000US51800,"Suffolk city, Virginia",51800,Suffolk city,Virginia,0
0500000US51810,"Virginia Beach city, Virginia",51810,Virginia Beach city,Virginia,0
0500000US51820,"Waynesboro city, Virginia",51820,Waynesboro city,Virginia,0
0500000US51830,"Williamsburg city, Virginia",51830,Williamsburg city,Virginia,0
0500000US51840,"Winchester city, Virginia",51840,Winchester city,Virginia,0
0500000US53001,"Adams County, Washington",53001,Adams County,Washington,0
0500000US53003,"Asotin County, Washington",53003,Asotin County,Washington,0
0500000US53005,"Benton County, Washington",53005,Benton County,Washington,0
0500000US53007,"Chelan County, Washington",53007,Chelan County,Washington,0
0500000US53009,"Clallam County, Washington",53009,Clallam County,Washington,0
0500000US53011,"Clark County, Washington",53011,Clark County,Washington,0
0500000US53013,"Columbia County, Washington",53013,Columbia County,Washington,0
0500000US53015,"Cowlitz County, Washington",53015,Cowlitz County,Washington,0
0500000US53017,"Douglas County, Washington",53017,Douglas County,Washington,0
0500000US53019,"Ferry County, Washington",53019,Ferry County,Washington,0
0500000US53021,"Franklin County, Washington",53021,Franklin County,Washington,0
0500000US53023,"Garfield County, Washington",53023,Garfield County,Washington,0
0500000US53025,"Grant County, Washington",53025,Grant County,Washington,0
0500000US53027,"Grays Harbor County, Washington",53027,Grays Harbor County,Washington,0
0500000US53029,"Island County, Washington",53029,Island County,Washington,0
0500000US53031,"Jefferson County, Washington",53031,Jefferson County,Washington,0
0500000US53033,"King County, Washington",53033,King County,Washington,0
0500000US53035,"Kitsap County, Washington",53035,Kitsap County,Washington,0
0500000US53037,"Kittitas County, Washington",53037,Kittitas County,Washington,0
0500000US53039,"Klickitat County, Washington",53039,Klickitat County,Washington,0
0500000US53041,"Lewis County, Washington",53041,Lewis County,Washington,0
0500000US53043,"Lincoln County, Washington",53043,Lincoln County,Washington,0
0500000US53045,"Mason County, Washington",53045,Mason County,Washington,0
0500000US53047,"Okanogan County, Washington",53047,Okanogan County,Washington,0
0500000US53049,"Pacific County, Washington",53049,Pacific County,Washington,0
0500000US53051,"Pend Oreille County, Washington",53051,Pend Oreille County,Washington,0
0500000US53053,"Pierce County, Washington",53053,Pierce County,Washington,0
0500000US53055,"San Juan County, Washington",53055,San Juan County,Washington,0
0500000US53057,"Skagit County, Washington",53057,Skagit County,Washington,0
0500000US53059,"Skamania County, Washington",53059,Skamania County,Washington,0
0500000US53061,"Snohomish County, Washington",53061,Snohomish County,Washington,0
0500000US53063,"Spokane County, Washington",53063,Spokane County,Washington,0
0500000US53065,"Stevens County, Washington",53065,Stevens County,Washington,0
0500000US53067,"Thurston County, Washington",53067,Thurston County,Washington,0
0500000US53069,"Wahkiakum County, Washington",53069,Wahkiakum County,Washington,0
0500000US53071,"Walla Walla County, Washington",53071,Walla Walla County,Washington,0
0500000US53073,"Whatcom County, Washington",53073,Whatcom County,Washington,0
0500000US53075,"Whitman County, Washington",53075,Whitman County,Washington,0
0500000US53077,"Yakima County, Washington",53077,Yakima County,Washington,0
0500000US54001,"Barbour County, West Virginia",54001,Barbour County,West Virginia,0
0500000US54003,"Berkeley County, West Virginia",54003,Berkeley County,West Virginia,0
0500000US54005,"Boone County, West Virginia",54005,Boone County,West Virginia,1
0500000US54007,"Braxton County, West Virginia",54007,Braxton County,West Virginia,2
0500000US54009,"Brooke County, West Virginia",54009,Brooke County,West Virginia,0
0500000US54011,"Cabell County, West Virginia",54011,Cabell County,West Virginia,1
0500000US54013,"Calhoun County, West Virginia",54013,Calhoun County,West Virginia,0
0500000US54015,"Clay County, West Virginia",54015,Clay County,West Virginia,1
0500000US54017,"Doddridge County, West Virginia",54017,Doddridge County,West Virginia,0
0500000US54019,"Fayette County, West Virginia",54019,Fayette County,West Virginia,0
0500000US54021,"Gilmer County, West Virginia",54021,Gilmer County,West Virginia,0
0500000US54023,"Grant County, West Virginia",54023,Grant County,West Virginia,1
